# Homebrew adlist
# ===================================================================

#<block-adobe>
127.0.0.1 activate.adobe.com
127.0.0.1 practivate.adobe.com
127.0.0.1 ereg.adobe.com
127.0.0.1 wip3.adobe.com
127.0.0.1 activate.wip3.adobe.com
127.0.0.1 3dns-3.adobe.com
127.0.0.1 3dns-2.adobe.com
127.0.0.1 adobe-dns.adobe.com
127.0.0.1 adobe-dns-2.adobe.com
127.0.0.1 adobe-dns-3.adobe.com
127.0.0.1 ereg.wip3.adobe.com
127.0.0.1 activate-sea.adobe.com
127.0.0.1 wwis-dubc1-vip60.adobe.com
127.0.0.1 activate-sjc0.adobe.com
127.0.0.1 hl2rcv.adobe.com
127.0.0.1 lm.licenses.adobe.com
127.0.0.1 na2m-pr.licenses.adobe.com
127.0.0.1 lmlicenses.wip4.adobe.com
127.0.0.1 na1r.services.adobe.com
127.0.0.1 hlrcv.stage.adobe.com
127.0.0.1 genuine.adobe.com
127.0.0.1 prod.adobegenuine.com
#</block-adobe>

#<block-adobe>
0.0.0.0 3dns-1.adobe.com
0.0.0.0 3dns-2.adobe.com
0.0.0.0 3dns-3.adobe.com
0.0.0.0 3dns-4.adobe.com
0.0.0.0 3dns.adobe.com
0.0.0.0 activate-sea.adobe.com
0.0.0.0 activate-sjc0.adobe.com
0.0.0.0 activate.adobe.com
0.0.0.0 activate.wip.adobe.com
0.0.0.0 activate.wip1.adobe.com
0.0.0.0 activate.wip2.adobe.com
0.0.0.0 activate.wip3.adobe.com
0.0.0.0 activate.wip4.adobe.com
0.0.0.0 adobe-dns-1.adobe.com
0.0.0.0 adobe-dns-2.adobe.com
0.0.0.0 adobe-dns-3.adobe.com
0.0.0.0 adobe-dns-4.adobe.com
0.0.0.0 adobe-dns.adobe.com
0.0.0.0 adobe.activate.com
0.0.0.0 adobeereg.com
0.0.0.0 ereg.adobe.com
0.0.0.0 ereg.wip.adobe.com
0.0.0.0 ereg.wip1.adobe.com
0.0.0.0 ereg.wip2.adobe.com
0.0.0.0 ereg.wip3.adobe.com
0.0.0.0 ereg.wip4.adobe.com
0.0.0.0 hl2rcv.adobe.com
0.0.0.0 hlrcv.stage.adobe.com
0.0.0.0 lm.licenses.adobe.com
0.0.0.0 lmlicenses.wip4.adobe.com
0.0.0.0 na1r.services.adobe.com
0.0.0.0 na2m-pr.licenses.adobe.com
0.0.0.0 practivate.adobe.com
0.0.0.0 practivate.adobe.ipp
0.0.0.0 practivate.adobe.newoa
0.0.0.0 practivate.adobe.ntp
0.0.0.0 wip.adobe.com
0.0.0.0 wip1.adobe.com
0.0.0.0 wip2.adobe.com
0.0.0.0 wip3.adobe.com
0.0.0.0 wip3.adobe.com
0.0.0.0 wip4.adobe.com
0.0.0.0 wwis-dubc1-vip60.adobe.com
0.0.0.0 www.adobeereg.com
0.0.0.0 www.wip.adobe.com
0.0.0.0 www.wip1.adobe.com
0.0.0.0 www.wip2.adobe.com
0.0.0.0 www.wip3.adobe.com
0.0.0.0 www.wip4.adobe.com
#</block-adobe>
255.255.255.255 broadcasthost
#16.217.0.0 = *.ip.att.net
127.0.0.1 16.217.0.0
127.0.0.1 rosettastone.com
127.0.0.1 launch.rosettastone.com
127.0.0.1 amp.rosettastone.com
127.0.0.1 resources.rosettastone.com
127.0.0.1 updates.rosettastone.com
# Custom host records are listed here.
127.0.0.1	ServerHost	host.apache.local
127.0.0.1	ServerStatus	stat.apache.local
127.0.0.1	ServerInfo	info.apache.local
127.0.0.1	www.example.com	example.com
127.0.0.1	www.testsite.com
127.0.0.1    activation.cloud.techsmith.com
127.0.0.1    oscount.techsmith.com
127.0.0.1    updater.techsmith.com
127.0.0.1    camtasiatudi.techsmith.com
127.0.0.1    tsccloud.cloudapp.net
127.0.0.1    assets.cloud.techsmith.com
# End of custom host records.
# AdAway default blocklist
# Blocking mobile ad providers and some analytics providers
# Contribute:
# Create an issue at https://github.com/AdAway/AdAway/issues
# Changelog:
# 2016-07-18 Now hosted on GitHub + Cloudflare
# 2014-05-18 Now with a valid SSL certificate available at https://adaway.org/hosts.txt
# 2013-03-29 Integrated some hosts from
# http://adblock.gjtech.net/?format=hostfile
# 2013-03-14 Back from the dead
# License:
# CC Attribution 3.0 (http://creativecommons.org/licenses/by/3.0/)
# Contributions by:
# Kicelo, Dominik Schuermann
# [General]
0.0.0.0 lb.usemaxserver.de
0.0.0.0 tracking.klickthru.com
0.0.0.0 gsmtop.net
0.0.0.0 click.buzzcity.net
0.0.0.0 ads.admoda.com
0.0.0.0 stats.pflexads.com
0.0.0.0 a.glcdn.co
0.0.0.0 wwww.adleads.com
0.0.0.0 ad.madvertise.de
0.0.0.0 apps.buzzcity.net
0.0.0.0 ads.mobgold.com
0.0.0.0 android.bcfads.com
0.0.0.0 req.appads.com
0.0.0.0 show.buzzcity.net
0.0.0.0 api.analytics.omgpop.com
0.0.0.0 r.edge.inmobicdn.net
0.0.0.0 www.mmnetwork.mobi
0.0.0.0 img.ads.huntmad.com
0.0.0.0 creative1cdn.mobfox.com
0.0.0.0 admicro2.vcmedia.vn
0.0.0.0 admicro1.vcmedia.vn
0.0.0.0 s3.phluant.com
0.0.0.0 c.vrvm.com
0.0.0.0 go.vrvm.com
0.0.0.0 static.estebull.com
0.0.0.0 mobile.banzai.it
0.0.0.0 ads.xxxad.net
0.0.0.0 hhbekxxw5d9e.pflexads.com
0.0.0.0 img.ads.mojiva.com
0.0.0.0 adcontent.saymedia.com
0.0.0.0 ads.saymedia.com
0.0.0.0 ftpcontent.worldnow.com
0.0.0.0 s0.2mdn.net
0.0.0.0 img.ads.mocean.mobi
0.0.0.0 bigmobileads.com
0.0.0.0 banners.bigmobileads.com
0.0.0.0 ads.mopub.com
0.0.0.0 images.mpression.net
0.0.0.0 images.millennialmedia.com
0.0.0.0 oasc04012.247realmedia.com
0.0.0.0 assets.cntdy.mobi
0.0.0.0 ad.leadboltapps.net
0.0.0.0 api.airpush.com
0.0.0.0 ad.where.com
0.0.0.0 i.tapit.com
0.0.0.0 cdn1.crispadvertising.com
0.0.0.0 cdn2.crispadvertising.com
